empleos,empleos_por_cada_1_000_pernoctaciones,empleos_por_cada_10_000_euros_de_ingresos,empleos_por_cada_100_plazas_alojativas,empleos_por_cada_100_viajeros_entrados,establecimientos,habitaciones,ingresos_por_habitacion,ingresos_totales,plazas,tarifa_media_diaria,tasa_de_ocupacion_por_habitacion,tasa_de_ocupacion_por_plaza
53615.0,6.72,2.4,12.37,5.19,1805.0,174328.0,41.34,223243072.6,433583.0,60.06,68.84,59.4
54517.0,6.74,2.17,12.54,5.8,1817.0,174872.0,47.83,250715076.4,434792.0,62.67,76.31,62.03
53339.0,6.77,2.16,12.27,5.65,1818.0,174866.0,45.63,247187146.2,434729.0,64.54,70.7,58.43
53196.0,6.19,2.06,12.29,5.88,1818.0,174761.0,47.74,258440539.7,432850.0,61.38,77.78,64.03
52899.0,6.73,2.16,12.28,5.81,1818.0,174474.0,50.25,245284766.9,430693.0,63.48,79.15,65.17
53651.0,6.18,1.93,12.46,4.89,1816.0,174504.0,51.37,277688424.4,430742.0,66.51,77.24,64.98
50847.0,7.54,2.59,11.92,5.89,1803.0,172884.0,37.88,196290037.8,426487.0,61.06,62.03,52.7
49814.0,7.83,2.88,11.95,5.84,1767.0,168986.0,33.09,173199605.3,416696.0,56.64,58.42,49.22
50566.0,7.5,2.87,12.06,5.64,1771.0,170072.0,34.55,176153085.6,419393.0,55.45,62.3,53.6
53269.0,6.1,2.41,12.5,4.88,1786.0,172444.0,41.33,220761538.1,426220.0,60.71,68.07,66.08
54074.0,5.65,2.06,12.64,4.61,1791.0,173395.0,48.8,262091193.3,427871.0,65.45,74.55,72.12
53108.0,6.89,2.36,12.44,5.48,1791.0,173242.0,43.38,225269949.3,427046.0,59.74,72.61,60.12
54005.0,6.4,2.13,12.6,5.0,1800.0,173912.0,47.13,253904046.5,428549.0,64.3,73.31,63.56
55707.0,6.17,1.91,12.89,5.05,1813.0,175380.0,55.35,291004346.5,432182.0,65.62,84.35,69.66
55181.0,6.27,1.92,12.77,5.27,1814.0,175348.0,52.93,287479768.6,432153.0,68.16,77.65,65.66
55118.0,5.99,1.83,12.81,5.61,1814.0,174713.0,55.72,301523775.1,430382.0,65.94,84.48,69.0
55256.0,6.57,1.99,12.89,5.69,1810.0,173922.0,57.13,277981759.1,428626.0,67.35,84.82,70.12
55302.0,6.12,1.81,12.91,4.95,1810.0,173855.0,56.69,305289719.2,428376.0,68.18,83.14,67.99
54385.0,6.97,2.24,12.72,5.25,1802.0,173497.0,46.59,242289513.9,427645.0,67.9,68.62,60.8
51885.0,7.77,2.75,12.38,5.58,1756.0,170078.0,35.8,188597972.1,419146.0,58.81,60.87,51.4
52841.0,7.4,2.71,12.62,5.56,1750.0,169975.0,38.31,195210935.5,418746.0,58.52,65.47,56.84
54793.0,6.08,2.23,12.95,4.77,1770.0,171544.0,46.3,246009883.5,423163.0,64.51,71.76,68.72
54303.0,5.39,1.9,12.8,4.35,1771.0,171676.0,53.75,285846082.2,424148.0,67.09,80.12,76.64
54845.0,6.86,2.23,12.89,5.4,1781.0,172361.0,47.5,245409222.5,425335.0,62.94,75.46,62.69
56513.0,6.51,2.05,13.31,5.11,1790.0,172192.0,51.74,275964513.1,424637.0,67.38,76.79,65.96
56676.0,6.7,1.88,13.33,5.49,1804.0,172639.0,58.29,301635352.4,425183.0,69.92,83.36,66.33
55881.0,6.78,1.83,13.15,5.74,1805.0,172745.0,56.97,304837421.1,424813.0,74.37,76.6,62.6
56525.0,6.49,1.83,13.42,5.85,1799.0,171162.0,58.18,308480287.0,421187.0,70.53,82.49,66.67
55677.0,6.86,1.91,13.3,5.78,1799.0,170717.0,60.9,290867126.1,418615.0,71.79,84.83,69.27
56053.0,6.55,1.74,13.32,5.28,1802.0,171410.0,60.74,322522403.3,420864.0,74.15,81.91,65.61
56028.0,7.46,2.27,13.35,5.59,1793.0,170377.0,48.34,246893142.0,419541.0,70.93,68.16,59.7
54368.0,7.86,2.67,13.23,5.66,1752.0,167033.0,39.4,203872309.2,410894.0,62.24,63.31,54.3
55142.0,7.57,2.58,13.37,5.81,1746.0,167738.0,42.49,213641489.9,412368.0,62.74,67.73,58.9
56801.0,6.22,2.09,13.63,4.95,1764.0,169616.0,51.7,271619980.5,416836.0,69.57,74.32,70.64
58020.0,5.54,1.81,13.88,4.49,1772.0,170092.0,60.68,319702073.5,418151.0,74.82,81.11,80.83
56661.0,6.9,2.1,13.65,5.69,1771.0,169013.0,53.31,270100709.1,414979.0,68.39,77.95,65.93
57415.0,6.43,1.95,13.78,4.85,1783.0,169763.0,55.94,294149645.5,416652.0,71.02,78.77,69.08
58320.0,6.67,1.77,13.89,5.5,1798.0,171111.0,64.24,329508561.2,419982.0,75.27,85.29,69.41
57782.0,6.81,1.73,13.74,5.65,1801.0,171426.0,62.76,333252340.6,420667.0,79.25,79.19,65.02
58558.0,6.55,1.75,13.93,5.53,1800.0,171559.0,62.98,334681625.4,420399.0,74.82,84.17,68.55
58405.0,6.6,1.72,13.93,5.38,1799.0,171289.0,68.43,339672279.2,419415.0,78.35,87.35,72.73
59158.0,6.23,1.62,14.14,4.89,1795.0,170801.0,68.92,364894417.6,418390.0,79.56,86.62,73.22
57812.0,7.02,2.05,13.92,5.11,1783.0,169780.0,55.27,281517374.7,415228.0,72.87,75.85,66.15
56510.0,7.23,2.24,13.79,5.33,1750.0,167473.0,48.57,252181678.8,409663.0,65.99,73.61,61.51
56927.0,6.86,2.16,13.86,5.21,1751.0,167873.0,52.31,263456719.4,410817.0,68.42,76.45,67.34
59542.0,5.83,1.81,14.33,4.55,1769.0,169830.0,62.51,329075102.6,415560.0,74.96,83.39,79.23
59372.0,5.35,1.62,14.29,4.45,1770.0,169798.0,69.63,366527293.1,415607.0,80.54,86.46,86.2
59096.0,6.53,1.87,14.22,5.26,1772.0,169888.0,61.99,315955191.2,415660.0,72.47,85.54,72.56
59824.0,6.16,1.73,14.33,4.61,1785.0,170772.0,65.24,345364586.1,417377.0,76.78,84.97,75.08
60857.0,6.67,1.69,14.48,5.5,1793.0,172101.0,69.59,359291355.8,420282.0,78.2,88.99,72.41
60517.0,6.66,1.66,14.39,5.2,1796.0,172104.0,68.37,364752819.3,420477.0,83.35,82.03,69.69
60655.0,6.45,1.61,14.45,5.56,1795.0,172012.0,70.7,377021461.4,419759.0,80.35,87.99,72.24
60230.0,6.9,1.71,14.36,5.58,1791.0,171941.0,73.18,352320802.3,419505.0,83.19,87.97,74.33
61959.0,6.57,1.59,14.78,5.16,1790.0,171682.0,73.07,388893195.6,419137.0,83.02,88.02,72.55
60277.0,6.85,1.82,14.42,4.85,1782.0,170992.0,64.62,331477090.0,417948.0,82.84,78.0,70.13
58033.0,7.36,2.13,14.33,5.42,1736.0,165621.0,53.06,272439296.6,404868.0,71.63,74.08,62.83
59279.0,6.99,2.14,14.57,5.25,1728.0,166723.0,55.33,276722467.0,406931.0,71.19,77.72,69.44
60849.0,6.04,1.77,14.74,4.71,1756.0,169063.0,65.48,343160493.1,412880.0,80.16,81.68,78.66
62370.0,5.7,1.64,15.03,4.66,1762.0,169940.0,72.33,381039756.3,414877.0,84.7,85.39,85.05
61315.0,6.75,1.83,14.8,5.18,1765.0,169951.0,65.83,335658093.0,414391.0,77.0,85.5,73.1
62994.0,6.53,1.76,15.15,4.85,1781.0,170560.0,67.59,357398402.1,415834.0,80.75,83.71,74.86
61760.0,6.78,1.61,14.84,5.39,1786.0,170503.0,75.04,383838267.9,416073.0,86.0,87.26,72.97
62692.0,7.01,1.68,15.04,5.4,1790.0,170787.0,70.6,373796741.4,416926.0,88.06,80.18,69.2
59923.0,6.75,1.58,15.16,5.83,1615.0,162913.0,75.14,379466084.9,395353.0,87.5,85.87,72.39
59591.0,7.25,1.75,15.05,5.73,1617.0,163132.0,74.7,341225603.4,395904.0,86.2,86.66,74.14
61153.0,6.72,1.58,15.42,4.91,1616.0,163617.0,76.2,386500847.4,396518.0,89.1,85.52,74.04
59327.0,7.63,2.01,15.06,5.47,1609.0,162464.0,60.56,295157792.5,393973.0,82.23,73.65,65.76
58363.0,7.83,2.33,15.14,5.61,1569.0,158729.0,51.0,250974974.8,385475.0,72.16,70.68,62.41
58836.0,7.49,2.26,15.25,5.34,1567.0,158872.0,54.52,259842845.6,385723.0,71.58,76.17,67.89
62077.0,6.66,1.94,15.8,5.14,1589.0,161862.0,63.77,319996629.7,393009.0,82.04,77.73,76.51
61323.0,6.12,1.71,15.69,4.82,1584.0,161094.0,71.96,359337451.6,390828.0,86.57,83.12,82.77
61463.0,7.26,1.94,15.61,5.5,1593.0,162483.0,64.88,316245061.0,393724.0,77.41,83.82,71.66
62551.0,7.03,1.83,15.78,5.19,1614.0,163845.0,67.21,341371607.6,396510.0,82.79,81.18,72.44
61384.0,7.41,1.72,15.46,5.85,1618.0,164265.0,72.36,356602260.8,396989.0,86.52,83.64,69.53
61207.0,7.63,1.76,15.42,5.71,1620.0,164191.0,68.32,347728600.2,396927.0,88.74,76.99,65.21
61608.0,7.33,1.68,15.44,6.03,1614.0,165200.0,71.43,365816371.4,398925.0,87.73,81.43,68.0
60785.0,7.87,1.82,15.23,6.07,1621.0,165171.0,72.31,334408876.8,399161.0,89.17,81.09,69.12
60427.0,6.97,1.63,15.12,5.17,1624.0,165325.0,72.17,369874583.8,399671.0,87.61,82.38,69.96
60628.0,7.84,2.03,15.25,5.51,1620.0,163940.0,60.62,298144925.5,397502.0,85.74,70.7,64.82
58636.0,8.4,2.36,15.24,5.77,1568.0,158788.0,50.45,248330568.0,384791.0,73.68,68.47,58.52
